iter	Passed	Remaining
0	141	141620
1	142	71136
2	143	47612
3	143	35804
4	144	28712
5	144	23980
6	145	20601
7	145	18068
8	146	16099
9	146	14521
10	147	13279
11	148	12204
12	148	11297
13	149	10525
14	149	9844
15	150	9248
16	150	8722
17	151	8255
18	151	7836
19	152	7463
20	152	7129
21	153	6821
22	153	6538
23	154	6278
24	154	6040
25	155	5821
26	155	5621
27	156	5432
28	156	5255
29	157	5090
30	157	4935
31	158	4790
32	158	4654
33	159	4531
34	160	4419
35	160	4306
36	161	4202
37	161	4099
38	162	4002
39	162	3911
40	163	3825
41	164	3744
42	164	3665
43	165	3588
44	165	3514
45	166	3445
46	166	3378
47	167	3315
48	167	3259
49	168	3205
50	169	3157
51	170	3102
52	170	3049
53	171	2998
54	171	2949
55	172	2902
56	172	2856
57	173	2812
58	173	2770
59	174	2728
60	174	2688
61	175	2649
62	175	2611
63	176	2575
64	176	2539
65	177	2505
66	177	2472
67	178	2440
68	178	2409
69	179	2378
70	179	2348
71	179	2319
72	180	2291
73	180	2264
74	181	2237
75	181	2211
76	182	2186
77	182	2161
78	183	2137
79	183	2113
80	184	2090
81	184	2068
82	185	2044
83	185	2022
84	185	2002
85	186	1981
86	187	1962
87	187	1943
88	187	1924
89	188	1905
90	188	1887
91	189	1869
92	189	1851
93	190	1834
94	190	1817
95	191	1801
96	191	1784
97	192	1769
98	192	1753
99	193	1738
100	193	1723
101	194	1709
102	194	1694
103	195	1680
104	195	1666
105	196	1653
106	196	1640
107	196	1626
108	197	1614
109	197	1601
110	198	1588
111	198	1577
112	199	1565
113	199	1553
114	200	1542
115	200	1531
116	201	1519
117	201	1508
118	202	1497
119	202	1487
120	203	1476
121	203	1465
122	204	1455
123	204	1445
124	205	1435
125	205	1426
126	205	1415
127	206	1406
128	207	1397
129	207	1388
130	207	1379
131	208	1370
132	208	1361
133	209	1353
134	210	1345
135	210	1337
136	211	1329
137	211	1321
138	211	1313
139	212	1305
140	212	1297
141	213	1288
142	213	1281
143	214	1273
144	214	1266
145	215	1259
146	215	1251
147	216	1244
148	216	1237
149	217	1230
150	217	1223
151	218	1217
152	218	1210
153	219	1203
154	219	1197
155	220	1190
156	220	1184
157	221	1178
158	221	1172
159	222	1166
160	222	1159
161	222	1153
162	223	1147
163	223	1141
164	224	1135
165	224	1130
166	225	1124
167	225	1118
168	226	1113
169	226	1107
170	227	1102
171	227	1096
172	228	1091
173	228	1086
174	229	1081
175	229	1075
176	230	1070
177	230	1065
178	231	1060
179	231	1055
180	232	1050
181	232	1045
182	233	1040
183	233	1035
184	234	1030
185	234	1026
186	234	1021
187	235	1016
188	235	1012
189	236	1007
190	236	1003
191	237	998
192	237	994
193	238	990
194	238	985
195	239	981
196	239	977
197	240	973
198	240	969
199	241	964
200	241	961
201	242	957
202	242	953
203	243	949
204	243	945
205	244	941
206	244	937
207	245	933
208	245	930
209	246	926
210	246	922
211	247	918
212	247	914
213	248	911
214	248	907
215	249	903
216	249	900
217	249	896
218	250	892
219	250	889
220	251	886
221	251	882
222	252	879
223	252	875
224	253	872
225	253	869
226	254	866
227	254	862
228	255	859
229	255	856
230	256	853
231	256	850
232	257	846
233	257	843
234	258	840
235	258	837
236	259	834
237	259	831
238	260	828
239	260	825
240	261	822
241	261	819
242	262	816
243	262	813
244	263	810
245	263	807
246	263	804
247	264	801
248	264	798
249	265	796
250	265	793
251	266	790
252	266	787
253	267	784
254	267	782
255	268	779
256	268	776
257	269	774
258	269	772
259	270	769
260	270	767
261	271	764
262	272	762
263	272	760
264	273	757
265	273	754
266	274	752
267	274	749
268	274	747
269	275	744
270	275	742
271	276	740
272	276	737
273	277	735
274	277	732
275	278	730
276	278	728
277	279	725
278	279	723
279	280	720
280	280	718
281	281	716
282	281	713
283	282	711
284	282	709
285	283	707
286	283	704
287	284	702
288	284	700
289	285	698
290	285	696
291	286	693
292	286	691
293	287	689
294	287	687
295	288	685
296	288	682
297	288	680
298	289	678
299	289	676
300	290	674
301	290	672
302	291	670
303	291	668
304	292	666
305	292	663
306	293	661
307	293	659
308	294	657
309	294	655
310	295	653
311	295	651
312	296	649
313	296	647
314	297	645
315	297	644
316	298	642
317	298	640
318	299	638
